"DOMAIN","MEASURE_TYPE","GENDER","AGE","L","M","S","CENTILE_0_4","CENTILE_2","CENTILE_9","CENTILE_25","CENTILE_50","CENTILE_75","CENTILE_91","CENTILE_98","CENTILE_99_6","ID"
"GROWTH_CHARTS","CHILD_HEIGHT","F",1.75,1,83.6654,0.03666,75.531255708272,77.365425499544,79.552320250676,81.598125017864,83.6654,85.732674982136,87.778479749324,89.965374500456,91.799544291728,291
"GROWTH_CHARTS","CHILD_HEIGHT","F",1.83333333333333,1,84.604,0.03688,76.32924148096,78.19511840192,80.41981780768,82.50098821952,84.604,86.70701178048,88.78818219232,91.01288159808,92.87875851904,292
"GROWTH_CHARTS","CHILD_HEIGHT","F",1.91666666666667,1,85.5202,0.03711,77.103667942456,79.001513406412,81.264329151898,83.381156784772,85.5202,87.659243215228,89.776070848102,92.038886593588,93.936732057544,293
"GROWTH_CHARTS","CHILD_HEIGHT","F",2,1,86.4153,0.03734,77.857966155096,79.787561041692,82.088231868018,84.240472318452,86.4153,88.590127681548,90.742368131982,93.043038958308,94.972633844904,294
"GROWTH_CHARTS","CHILD_HEIGHT","F",2,1,85.7153,0.03764,77.159089038416,79.088430725832,81.388799660828,83.540757696792,85.7153,87.889842303208,90.041800339172,92.342169274168,94.271510961584,295
"GROWTH_CHARTS","CHILD_HEIGHT","F",2.08333333333333,1,86.5904,0.03786,77.896315133312,79.856746034624,82.194182878496,84.380817345344,86.5904,88.799982654656,90.986617121504,93.324053965376,95.284484866688,296
"GROWTH_CHARTS","CHILD_HEIGHT","F",2.16666666666667,1,87.4462,0.03808,78.615169163008,80.606480038016,82.980735312064,85.201812826496,87.4462,89.690587173504,91.911664687936,94.285919961984,96.277230836992,297
"GROWTH_CHARTS","CHILD_HEIGHT","F",2.25,1,88.283,0.0383,79.3159544372,81.3379352994,83.7487586351,86.0040449814,88.283,90.5619550186,92.8172413649,95.2280647006,97.2500455628,298
"GROWTH_CHARTS","CHILD_HEIGHT","F",2.33333333333333,1,89.1004,0.03851,80.000708016592,82.052599346184,84.499085162236,86.787733183704,89.1004,91.413066816296,93.701714837764,96.148200653816,98.200091983408,299
"GROWTH_CHARTS","CHILD_HEIGHT","F",2.41666666666667,1,89.8991,0.03872,80.667771360896,82.749345465792,85.231222283168,87.552978015552,89.8991,92.245221984448,94.566977716832,97.048854534208,99.130428639104,300
"GROWTH_CHARTS","CHILD_HEIGHT","F",2.5,1,90.6797,0.03893,81.317713767908,83.428749879066,85.945754473139,88.300371674046,90.6797,93.059028325954,95.413645526861,97.930650120934,100.041686232092,301
"GROWTH_CHARTS","CHILD_HEIGHT","F",2.58333333333333,1,91.443,0.03913,81.95370750732,84.09344993214,86.64468128481,89.03131706634,91.443,93.85468293366,96.24131871519,98.79255006786,100.93229249268,302
"GROWTH_CHARTS","CHILD_HEIGHT","F",2.66666666666667,1,92.1906,0.03933,82.574829097704,84.743091163908,87.328326704382,89.746772855148,92.1906,94.634427144852,97.052873295618,99.638108836092,101.806370902296,303
"GROWTH_CHARTS","CHILD_HEIGHT","F",2.75,1,92.9239,0.03952,83.184821095744,85.380887907488,87.999275259952,90.448734396128,92.9239,95.399065603872,97.848524740048,100.466912092512,102.662978904256,304
"GROWTH_CHARTS","CHILD_HEIGHT","F",2.83333333333333,1,93.6444,0.03971,83.782622083152,86.006356319304,88.657731754716,91.138050710424,93.6444,96.150749289576,98.631068245284,101.282443680696,103.506177916848,305
"GROWTH_CHARTS","CHILD_HEIGHT","F",2.91666666666667,1,94.3533,0.03989,84.371826680676,86.622551056602,89.306107043283,91.816530385662,94.3533,96.890069614338,99.400492956717,102.084048943398,104.334773319324,306
"GROWTH_CHARTS","CHILD_HEIGHT","F",3,1,95.0515,0.04006,84.95331228532,87.23035461314,89.94528969631,92.48506767734,95.0515,97.61793232266,100.15771030369,102.87264538686,105.14968771468,307
"GROWTH_CHARTS","CHILD_HEIGHT","F",3.08333333333333,1,95.7399,0.04024,85.522874876448,87.826713874896,90.573598834584,93.143265409776,95.7399,98.336534590224,100.906201165416,103.653086125104,105.956925123552,308
